N,P,K,temperature,humidity,ph,rainfall,label
85.0,36.7,41.8,22.34,74.03,6.77,254.92,rice
78.6,44.6,42.8,22.88,79.0,7.16,212.95,rice
86.5,45.3,45.4,25.49,82.03,5.84,257.74,rice
95.2,41.6,45.3,25.22,82.23,6.63,269.89,rice
77.7,46.7,33.1,23.96,79.75,6.14,246.34,rice
77.7,51.2,35.3,24.23,85.11,6.21,282.92,rice
95.8,63.1,42.6,26.56,76.66,6.16,216.66,rice
87.7,49.4,42.6,22.82,81.29,6.05,204.88,rice
75.3,50.1,42.6,25.09,82.6,6.42,191.53,rice
85.4,47.4,59.3,23.6,84.57,6.07,273.4,rice
75.4,32.6,42.9,23.56,85.56,6.51,252.36,rice
75.3,47.8,45.7,26.2,76.38,6.38,234.61,rice
82.4,48.5,44.8,25.65,74.33,6.3,243.0,rice
60.9,67.7,43.3,25.63,88.39,6.04,207.86,rice
62.8,46.5,38.4,26.61,83.66,6.17,297.14,rice
74.4,50.4,43.8,24.04,78.26,6.7,239.23,rice
69.9,47.7,36.1,25.36,89.76,6.6,238.73,rice
83.1,38.7,38.8,23.38,82.58,6.01,254.14,rice
70.9,57.1,37.6,24.65,87.9,6.44,248.03,rice
65.9,54.0,40.4,23.74,82.34,6.7,241.6,rice
94.7,54.3,51.6,24.19,92.3,5.73,216.24,rice
77.7,40.7,30.7,25.19,90.78,6.62,247.79,rice
80.7,59.2,43.4,22.36,80.76,6.13,283.05,rice
65.8,36.8,31.9,28.18,86.86,6.63,269.64,rice
74.6,52.7,37.6,21.99,85.23,6.09,275.83,rice
81.1,65.5,45.4,21.57,88.84,5.68,223.22,rice
68.5,40.1,40.3,26.32,77.18,5.75,211.26,rice
83.8,43.5,34.6,25.58,85.43,6.42,232.86,rice
74.0,48.8,36.4,25.25,87.29,6.5,237.39,rice
77.1,44.0,43.4,25.26,73.21,6.04,263.35,rice
74.0,35.6,36.3,23.98,76.08,6.66,193.69,rice
98.5,48.5,41.1,22.21,71.8,5.74,274.24,rice
79.9,39.5,40.2,24.15,80.65,6.37,232.05,rice
69.4,51.8,36.7,22.65,85.59,5.92,225.33,rice
88.2,40.6,50.7,25.95,89.51,6.14,210.7,rice
67.8,60.4,43.2,23.71,82.37,6.42,194.63,rice
82.1,41.7,29.9,22.35,90.14,6.06,256.58,rice
60.4,45.4,40.9,23.36,75.1,6.25,237.83,rice
66.7,54.5,36.7,24.83,73.48,6.8,203.75,rice
82.0,38.2,44.3,22.87,81.72,6.17,203.62,rice
87.4,49.8,36.0,22.36,83.92,6.73,227.61,rice
81.7,58.5,39.4,24.49,81.84,5.95,277.73,rice
78.8,35.1,42.5,24.49,71.66,6.61,229.51,rice
77.0,49.5,44.3,22.99,81.55,6.98,198.42,rice
65.2,50.1,34.0,23.06,75.48,5.41,229.86,rice
72.8,54.3,38.3,24.46,85.35,6.08,229.18,rice
75.4,38.1,37.6,21.1,83.83,6.63,168.58,rice
90.6,37.4,36.7,21.19,77.3,6.32,234.64,rice
83.4,52.2,48.8,22.56,79.43,6.55,230.23,rice
62.4,50.4,42.0,23.57,76.7,6.16,253.41,rice
83.2,50.0,33.7,24.62,81.69,6.43,282.22,rice
76.1,50.8,44.6,26.95,86.78,6.34,264.16,rice
73.2,42.6,50.6,25.72,77.07,6.87,229.28,rice
86.1,49.9,45.2,23.68,84.52,6.5,208.34,rice
90.3,50.3,32.4,23.96,79.35,6.54,300.0,rice
89.3,42.3,37.6,21.99,78.04,6.24,237.48,rice
71.6,62.9,46.3,23.96,81.46,6.2,236.35,rice
76.9,51.8,36.5,23.42,76.82,6.23,235.4,rice
83.3,38.5,42.2,24.65,79.23,6.56,240.95,rice
89.8,53.3,43.9,22.35,76.01,6.23,232.39,rice
75.2,40.2,35.4,25.04,91.82,6.52,221.66,rice
78.1,54.3,39.7,27.07,82.18,7.23,222.33,rice
68.9,57.3,23.8,23.78,78.5,6.75,235.18,rice
68.0,41.4,34.9,24.8,83.07,6.27,222.41,rice
88.1,55.7,38.7,25.38,81.44,6.88,218.18,rice
93.6,51.3,33.8,23.2,80.9,6.24,238.66,rice
79.3,54.6,48.2,24.45,85.07,5.58,229.63,rice
90.0,63.2,32.8,24.03,85.79,6.0,273.6,rice
83.6,46.0,37.8,24.2,79.35,5.65,169.73,rice
73.5,42.0,40.7,22.45,79.12,6.26,263.29,rice
83.6,40.9,47.2,24.05,80.62,6.41,267.15,rice
95.4,41.5,32.8,25.0,70.49,7.07,184.17,rice
79.6,47.4,45.8,26.9,74.42,6.53,227.43,rice
95.6,50.7,40.1,25.92,88.83,6.31,226.71,rice
53.8,50.2,35.1,28.31,90.22,6.73,200.81,rice
88.2,54.6,42.3,22.47,80.75,5.52,216.55,rice
80.9,48.1,41.0,25.74,84.88,6.49,208.24,rice
77.0,59.6,37.0,24.37,83.56,6.71,279.81,rice
80.9,45.9,40.3,28.38,97.39,5.81,259.39,rice
60.1,69.8,38.1,22.38,87.6,6.86,267.79,rice
77.8,53.0,40.6,22.32,81.36,6.54,254.04,rice
83.6,41.1,43.3,22.8,77.22,6.23,207.77,rice
94.8,39.4,47.9,19.75,73.97,6.65,222.89,rice
74.8,51.9,33.8,22.95,83.02,7.31,248.23,rice
71.9,46.2,50.7,22.48,78.22,6.47,205.45,rice
75.0,53.7,30.2,24.3,74.89,6.5,253.82,rice
89.2,51.8,39.2,24.68,78.77,6.22,229.99,rice
83.3,47.4,42.9,27.75,76.59,6.06,226.63,rice
74.7,41.2,41.4,25.9,90.44,6.73,253.77,rice
85.1,35.9,36.9,22.85,86.41,6.06,247.11,rice
81.0,44.4,39.0,22.2,81.96,6.43,226.98,rice
89.7,54.9,37.5,24.98,89.4,6.21,264.98,rice
73.0,49.7,37.1,21.36,82.39,6.59,208.97,rice
76.7,38.0,44.2,27.66,77.69,6.53,251.4,rice
76.1,49.4,41.8,26.36,89.62,6.82,250.83,rice
65.4,51.1,36.5,23.06,84.69,6.2,228.26,rice
83.0,40.9,44.5,20.57,76.81,6.29,244.15,rice
82.6,49.2,41.5,26.71,81.05,6.01,204.72,rice
80.1,48.5,44.1,23.77,77.62,6.22,259.1,rice
77.7,38.9,43.1,26.48,75.09,6.55,231.38,rice
71.7,55.5,21.5,26.2,72.98,6.25,74.98,maize
90.6,43.9,18.4,24.77,41.83,6.03,99.88,maize
69.5,48.8,20.1,22.18,81.71,6.25,82.38,maize
61.1,44.3,25.1,20.06,63.88,6.42,73.66,maize
59.3,44.5,20.8,24.09,73.87,6.22,93.05,maize
85.3,45.5,20.2,23.18,56.68,6.22,71.52,maize
62.6,49.8,14.6,24.69,69.9,5.92,85.42,maize
99.1,44.2,23.0,23.91,56.57,5.93,84.86,maize
53.0,58.0,22.6,25.15,60.01,5.64,101.29,maize
98.4,40.8,28.7,20.39,80.31,6.9,92.12,maize
80.5,46.5,18.8,25.95,63.47,5.7,84.62,maize
76.8,44.5,20.9,22.59,66.74,5.92,97.27,maize
71.5,59.6,21.0,28.23,71.96,5.91,105.85,maize
82.8,49.6,26.3,19.93,68.97,6.56,93.37,maize
77.5,56.3,19.6,27.21,66.2,6.08,85.16,maize
91.2,36.1,21.1,22.59,67.92,6.7,65.32,maize
79.4,50.1,22.4,20.05,84.23,5.93,69.02,maize
79.8,55.1,20.7,20.55,64.54,6.31,80.42,maize
73.6,48.7,18.2,21.04,66.61,5.87,75.86,maize
77.3,56.5,20.8,23.27,73.41,7.06,82.2,maize
81.7,43.9,24.3,23.57,73.84,5.72,85.85,maize
57.5,59.3,15.9,20.28,74.5,6.32,92.95,maize
61.8,66.4,20.5,21.93,70.11,6.45,83.94,maize
86.9,45.1,17.2,28.43,55.86,6.37,92.3,maize
80.1,44.4,24.8,27.18,78.07,6.13,85.97,maize
75.8,59.6,13.9,23.31,55.83,6.15,55.37,maize
78.2,60.6,17.8,22.11,67.42,6.22,70.91,maize
82.2,43.8,21.5,22.36,58.97,6.14,82.84,maize
71.5,44.6,26.3,23.84,64.49,6.59,66.85,maize
68.7,45.7,19.7,18.93,67.63,7.08,94.0,maize
80.4,37.2,17.8,21.23,67.57,5.98,107.96,maize
66.3,40.7,27.5,16.99,68.38,5.65,103.28,maize
82.9,40.0,14.2,23.2,77.91,6.16,81.8,maize
57.6,41.9,11.2,23.94,68.63,7.23,107.36,maize
90.3,47.7,21.8,20.55,63.05,5.88,87.23,maize
83.7,49.9,18.0,26.72,72.71,6.86,79.94,maize
81.1,60.4,15.9,18.32,74.52,6.87,75.8,maize
89.8,40.0,22.8,17.61,55.18,5.98,80.46,maize
98.0,55.9,21.0,22.67,69.78,6.43,79.18,maize
90.2,46.3,17.7,25.14,70.61,6.85,87.56,maize
55.9,47.6,14.9,27.05,62.62,6.05,87.41,maize
62.6,53.4,23.5,20.62,76.01,6.12,85.05,maize
70.5,39.0,22.6,25.24,63.8,5.97,91.55,maize
78.3,51.1,19.6,21.88,66.0,5.79,102.86,maize
84.2,49.3,27.4,21.48,63.62,5.94,99.24,maize
69.3,51.9,15.7,24.65,65.12,5.71,62.73,maize
80.2,50.3,13.9,23.96,56.23,6.21,46.69,maize
68.9,67.6,17.2,17.27,53.48,5.89,99.01,maize
70.7,42.9,19.8,26.43,77.76,6.29,64.5,maize
61.1,43.8,21.0,26.14,58.22,5.58,81.63,maize
66.9,43.0,19.0,20.12,57.07,6.33,67.45,maize
61.8,43.6,21.4,23.19,47.77,6.53,57.97,maize
66.3,42.9,15.0,23.48,59.89,5.4,93.12,maize
90.6,57.5,25.8,22.78,54.42,6.35,96.39,maize
66.6,59.4,19.7,20.35,78.14,6.69,76.35,maize
109.6,43.4,24.5,19.99,73.08,5.72,46.13,maize
83.9,41.3,21.4,21.92,59.49,6.87,76.81,maize
80.2,51.8,21.8,25.52,83.02,6.37,90.88,maize
67.7,43.6,22.3,23.63,72.85,5.92,62.82,maize
86.4,53.1,21.8,20.89,62.4,6.18,87.75,maize
71.1,49.6,22.6,24.32,45.0,6.42,84.77,maize
79.5,35.9,25.3,13.45,83.33,6.23,93.69,maize
108.7,60.4,20.8,25.45,53.88,6.42,86.79,maize
76.8,62.4,22.8,16.78,51.84,5.83,70.4,maize
91.8,43.1,19.6,20.91,73.18,6.27,102.95,maize
69.6,44.9,25.8,18.64,84.52,5.63,82.62,maize
77.6,50.3,17.3,18.12,76.07,6.16,84.59,maize
99.2,50.7,27.2,25.48,69.51,5.84,71.0,maize
70.5,53.3,19.8,20.6,69.76,5.91,78.35,maize
99.7,64.1,14.3,23.04,71.83,6.69,71.73,maize
86.5,46.6,20.5,21.86,71.07,6.64,82.41,maize
71.3,41.6,17.3,23.43,67.25,6.44,110.68,maize
85.6,37.0,23.4,22.23,65.83,5.76,64.42,maize
89.7,42.2,17.4,18.15,64.5,6.07,60.8,maize
85.5,47.7,18.2,24.99,58.97,6.69,107.07,maize
59.2,62.4,12.4,20.52,62.75,6.26,81.86,maize
69.3,43.9,18.2,17.33,51.46,7.13,74.96,maize
75.0,49.8,10.3,20.72,64.21,6.36,100.6,maize
77.1,47.9,13.7,26.5,57.09,6.28,75.92,maize
85.4,57.5,23.0,24.55,56.17,6.08,112.39,maize
80.1,68.2,23.1,20.95,66.44,6.25,95.17,maize
62.0,43.8,21.7,20.95,76.14,6.14,77.68,maize
82.6,44.1,16.1,21.04,72.35,6.48,117.36,maize
85.3,56.4,19.8,28.23,52.44,6.58,75.91,maize
84.7,53.5,20.0,23.15,57.08,5.89,96.13,maize
91.0,62.8,15.4,23.29,72.53,5.67,89.49,maize
88.0,52.7,26.0,25.09,57.14,5.47,104.53,maize
83.5,45.1,23.5,22.72,63.2,6.4,108.42,maize
77.2,52.7,19.1,21.22,69.4,5.76,85.48,maize
58.1,56.9,20.1,21.41,57.25,5.34,73.7,maize
83.2,54.6,20.8,21.79,65.84,6.36,91.9,maize
80.5,52.1,11.8,21.89,54.33,7.2,74.83,maize
81.3,56.5,19.0,24.18,60.19,6.2,115.2,maize
62.7,57.4,17.3,22.16,67.56,6.54,87.05,maize
65.0,59.1,16.0,24.2,52.26,6.23,79.52,maize
90.6,53.2,18.9,21.76,68.52,6.16,87.77,maize
77.5,46.7,27.2,22.24,64.84,6.57,64.79,maize
86.2,49.2,22.6,16.01,69.42,6.08,70.43,maize
78.3,57.7,17.7,24.75,66.79,6.31,103.01,maize
78.4,41.5,22.3,23.04,75.91,6.33,75.15,maize
33.7,74.2,77.7,19.7,22.7,7.58,73.25,chickpea
43.2,63.6,88.6,19.98,16.82,7.17,78.55,chickpea
47.1,61.5,74.5,20.27,14.87,7.77,72.08,chickpea
44.3,68.0,73.4,21.22,12.46,7.45,76.92,chickpea
46.0,66.6,75.6,19.82,11.59,7.26,61.06,chickpea
35.5,64.4,72.3,18.52,12.25,7.48,82.13,chickpea
31.5,73.6,79.9,20.35,17.8,6.67,80.01,chickpea
49.0,75.6,90.4,22.8,18.53,6.85,71.83,chickpea
38.1,68.7,81.3,18.73,12.26,6.82,86.59,chickpea
38.5,79.8,77.2,17.05,19.69,7.36,89.38,chickpea
48.0,58.9,77.0,21.21,15.55,7.99,63.92,chickpea
43.3,66.5,68.1,18.76,17.44,8.19,72.37,chickpea
42.7,62.3,85.2,14.65,21.84,7.56,72.31,chickpea
53.0,53.1,78.5,20.69,19.69,7.5,70.6,chickpea
36.1,67.3,77.7,17.93,16.19,6.58,88.29,chickpea
45.6,67.0,101.4,18.82,14.33,7.08,78.06,chickpea
40.3,80.1,81.1,19.66,10.54,6.98,77.35,chickpea
41.6,73.0,73.7,19.38,14.84,7.05,59.96,chickpea
49.2,59.8,76.0,20.42,16.37,7.23,86.35,chickpea
43.0,82.8,87.0,18.13,14.04,7.11,67.61,chickpea
43.2,77.8,79.8,20.03,16.61,6.51,80.6,chickpea
46.4,72.7,68.9,18.48,17.23,7.6,82.77,chickpea
37.8,66.2,85.4,20.48,16.33,6.87,93.61,chickpea
35.0,60.3,74.3,20.23,15.05,7.4,66.91,chickpea
33.7,65.0,92.1,17.13,17.51,8.13,49.8,chickpea
28.2,76.7,86.6,21.17,18.33,6.93,81.84,chickpea
52.3,83.1,75.9,17.93,13.73,6.29,98.01,chickpea
33.4,80.3,88.0,20.62,21.23,7.19,92.39,chickpea
38.7,64.1,79.5,19.73,16.7,7.74,82.1,chickpea
38.3,59.0,85.0,22.68,17.06,8.08,75.08,chickpea
41.8,69.1,82.4,18.55,19.12,6.81,88.07,chickpea
44.9,53.9,73.1,18.3,17.7,7.5,70.26,chickpea
45.2,70.6,74.5,18.96,19.86,7.11,84.76,chickpea
36.5,66.8,86.2,18.39,17.86,7.26,85.05,chickpea
39.0,64.3,76.7,20.6,15.16,8.36,90.6,chickpea
41.7,55.2,76.2,15.77,18.08,6.7,107.6,chickpea
38.5,72.1,72.3,16.89,13.57,7.4,83.92,chickpea
49.6,63.7,82.0,16.86,17.33,7.49,74.91,chickpea
42.9,58.6,93.4,20.9,16.9,7.73,79.74,chickpea
44.4,45.0,71.5,22.42,16.38,7.34,62.31,chickpea
44.0,67.8,79.2,18.79,16.61,7.42,73.05,chickpea
47.0,82.2,88.9,18.66,11.35,7.14,75.91,chickpea
41.1,81.3,78.4,19.14,15.35,7.41,74.76,chickpea
32.2,64.3,82.2,21.32,17.28,7.16,81.52,chickpea
42.4,63.2,71.6,17.15,17.48,7.55,71.78,chickpea
36.1,71.8,82.0,19.48,13.92,7.15,91.21,chickpea
36.8,60.0,77.7,20.95,20.8,7.45,80.0,chickpea
43.5,70.4,85.9,20.0,14.4,7.29,79.91,chickpea
47.4,74.1,87.3,19.38,19.91,7.75,76.72,chickpea
40.1,77.8,97.1,21.0,18.28,7.28,81.55,chickpea
41.9,67.2,83.1,13.59,15.06,6.59,88.25,chickpea
50.2,66.4,81.3,20.36,22.33,7.8,71.33,chickpea
41.4,61.0,80.4,17.69,13.42,6.94,73.42,chickpea
55.6,61.4,76.5,15.34,19.76,7.04,76.96,chickpea
43.4,66.2,81.4,20.02,20.0,7.06,66.54,chickpea
29.4,70.9,76.9,21.75,14.99,7.85,71.81,chickpea
44.5,75.3,80.2,18.73,21.18,6.45,75.24,chickpea
42.3,61.6,88.2,20.91,16.25,8.56,88.74,chickpea
47.7,79.9,72.0,22.22,17.87,7.72,82.63,chickpea
44.0,65.8,87.0,21.63,17.78,7.39,81.94,chickpea
39.2,67.8,88.2,22.28,16.6,7.28,88.51,chickpea
32.7,62.0,78.2,20.48,19.43,7.41,78.63,chickpea
38.7,48.6,64.1,19.15,19.38,7.51,83.9,chickpea
34.9,75.1,74.7,15.8,11.75,7.56,78.97,chickpea
36.5,73.9,88.1,18.51,20.91,7.52,82.65,chickpea
